id,name,category,type,tagline,skills,level,rating,upvotes,pricing,url
frontend,"Frontend Developer","Role-based Roadmap",role,"Step by step guide to becoming a modern frontend developer in 2026","HTML; CSS; JavaScript; TypeScript; React; Next.js; Tailwind CSS; Web Performance; Testing (Jest/Playwright); Accessibility (a11y)","Beginner to Advanced",4.98,42300,Free,https://roadmap.sh/frontend
backend,"Backend Developer","Role-based Roadmap",role,"Step by step guide to becoming a modern backend developer in 2026","Node.js; Python; Go; PostgreSQL; Redis; REST APIs; GraphQL; Microservices; Docker; System Design","Beginner to Advanced",4.97,39800,Free,https://roadmap.sh/backend
full-stack,"Full Stack Developer","Role-based Roadmap",role,"Comprehensive guide covering modern client-side and server-side engineering","React; Node.js; TypeScript; PostgreSQL; Prisma/Drizzle; REST/GraphQL; Docker; CI/CD; Cloud Deployment","Intermediate to Advanced",4.96,35600,Free,https://roadmap.sh/full-stack
ai-engineer,"AI Engineer","Role-based Roadmap",role,"Roadmap for building LLM applications, autonomous agents, and production AI pipelines","Python; OpenAI / Anthropic APIs; LangChain; LlamaIndex; Vector DBs (Pinecone/Chroma); RAG Architecture; Prompt Engineering; Evaluation & Fine-Tuning","Intermediate to Advanced",4.99,48900,Free,https://roadmap.sh/ai-engineer
ai-data-scientist,"AI & Data Scientist","Role-based Roadmap",role,"Step by step guide to mastering statistics, machine learning, and generative AI modeling","Python; Linear Algebra & Calculus; Pandas & NumPy; Scikit-Learn; PyTorch; TensorFlow; Deep Learning; Transformers; MLOps","Beginner to Advanced",4.95,31200,Free,https://roadmap.sh/ai-data-scientist
devops,"DevOps & Cloud Engineer","Role-based Roadmap",role,"Guide to mastering infrastructure, containers, CI/CD, and site reliability","Linux & Bash; Git; Docker; Kubernetes; Terraform; GitHub Actions; AWS / GCP; Prometheus & Grafana; ArgoCD","Intermediate to Advanced",4.94,33400,Free,https://roadmap.sh/devops
android,"Android Developer","Role-based Roadmap",role,"Step by step guide to building modern native Android apps with Kotlin and Jetpack Compose","Kotlin; Android SDK; Jetpack Compose; Coroutines & Flow; Retrofit; Room DB; Hilt / Dagger; Clean Architecture","Beginner to Advanced",4.91,21500,Free,https://roadmap.sh/android
ios,"iOS Developer","Role-based Roadmap",role,"Guide to building native iOS applications with Swift, SwiftUI, and Apple Ecosystem SDKs","Swift; SwiftUI; UIKit; Combine & Concurrency; CoreData / SwiftData; Xcode Instruments; App Store Publishing","Beginner to Advanced",4.92,22800,Free,https://roadmap.sh/ios
cyber-security,"Cyber Security Expert","Role-based Roadmap",role,"Comprehensive guide to ethical hacking, application security, and network defense","Networking (TCP/IP); Linux Security; OWASP Top 10; Penetration Testing; Cryptography; SIEM & SOC; Cloud Security","Beginner to Advanced",4.93,28400,Free,https://roadmap.sh/cyber-security
software-architect,"Software Architect","Role-based Roadmap",role,"High-level system design, enterprise patterns, scalability, and architectural trade-offs","System Design; Domain Driven Design (DDD); Microservices vs Monoliths; Event-Driven Architecture; CAP Theorem; Security & Governance","Advanced",4.97,34100,Free,https://roadmap.sh/software-architect
data-analyst,"Data Analyst","Role-based Roadmap",role,"Step by step path to data extraction, SQL querying, statistical analysis, and dashboarding","SQL; Excel / Spreadsheets; Python (Pandas/Seaborn); Power BI / Tableau; Statistics & Hypothesis Testing; Data Storytelling","Beginner to Intermediate",4.9,26700,Free,https://roadmap.sh/data-analyst
data-engineer,"Data Engineer","Role-based Roadmap",role,"Guide to building scalable batch/streaming pipelines, data lakes, and warehouses","Python / Scala; SQL & BigQuery / Snowflake; Apache Spark; Apache Kafka; Airflow / Dagster; dbt; Data Modeling","Intermediate to Advanced",4.94,29800,Free,https://roadmap.sh/data-engineer
qa,"QA & Automation Engineer","Role-based Roadmap",role,"Guide to modern software testing, test automation, and quality assurance","Manual Testing; Selenium / Playwright; Cypress; API Testing (Postman); CI/CD Test Pipelines; Performance Testing (k6)","Beginner to Intermediate",4.88,18200,Free,https://roadmap.sh/qa
blockchain,"Blockchain Developer","Role-based Roadmap",role,"Step by step guide to smart contract development, Web3 protocols, and dApps","Solidity; Ethereum & EVM; Hardhat / Foundry; Ethers.js / Viem; IPFS; DeFi Protocols; Smart Contract Auditing","Intermediate to Advanced",4.89,19400,Free,https://roadmap.sh/blockchain
ux-design,"UX Designer","Role-based Roadmap",role,"User research, wireframing, usability testing, and product design systems","User Research; Figma; Wireframing & Prototyping; Usability Testing; Information Architecture; Interaction Design","Beginner to Intermediate",4.91,22100,Free,https://roadmap.sh/ux-design
